step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
278,0.0,1.0,,,,
279,0.0,1.0,,,,
280,0.0,1.0,0.0,1.0,,
281,6e-05,1.0,,,,
282,0.0,1.0,,,,
283,4e-05,1.0,,,,
284,0.0,1.0,,,,
285,0.0,1.0,,,,
286,0.0,1.0,,,,
287,0.0,1.0,,,,
288,0.0,1.0,,,,
289,0.0,1.0,,,,
290,8e-05,1.0,2.0424,0.66667,,
291,0.0,1.0,,,,
292,1.29852,0.66667,,,,
293,0.0,1.0,,,,
294,0.0,1.0,,,,
295,0.0,1.0,,,,
296,0.0,1.0,,,,
297,0.0,1.0,,,,
298,0.0,1.0,,,,
299,0.0,1.0,,,,
300,8e-05,1.0,0.0,1.0,,
301,0.0,1.0,,,,
302,0.0,1.0,,,,
303,0.0,1.0,,,,
304,1e-05,1.0,,,,
305,0.0,1.0,,,,
306,0.27532,0.66667,,,,
307,0.0,1.0,,,,
308,0.0,1.0,,,,
309,0.0,1.0,,,,
310,0.0,1.0,0.00136,1.0,,
311,0.00031,1.0,,,,
312,0.0,1.0,,,,
313,0.0,1.0,,,,
314,0.0,1.0,,,,
315,0.0,1.0,,,,
316,3.12503,0.66667,,,,
317,0.0,1.0,,,,
318,0.0,1.0,,,,
319,0.0,1.0,,,,
320,0.0,1.0,0.0,1.0,,
321,0.00325,1.0,,,,
322,0.0,1.0,,,,
323,0.0,1.0,,,,
324,0.0,1.0,,,,
325,0.0,1.0,,,,
326,0.0,1.0,,,,
327,0.0,1.0,,,,
328,1e-05,1.0,,,,
329,0.0,1.0,,,,
330,0.0,1.0,0.0,1.0,,
331,0.15809,1.0,,,,
332,0.0,1.0,,,,
333,0.05994,1.0,,,,
334,0.00045,1.0,,,,
335,0.0,1.0,,,,
336,0.0,1.0,,,,
337,3e-05,1.0,,,,
338,0.0,1.0,,,,
339,0.0,1.0,,,,
340,0.0,1.0,0.0,1.0,,
341,1e-05,1.0,,,,
342,0.0,1.0,,,,
343,0.0,1.0,,,,
344,0.0,1.0,,,,
345,0.0,1.0,,,,
346,0.0,1.0,,,,
347,0.0,1.0,,,,
348,0.0,1.0,,,,
349,0.0003,1.0,,,,
350,0.0,1.0,0.0,1.0,,
351,0.0,1.0,,,,
352,1.75175,0.66667,,,,
353,0.0,1.0,,,,
354,0.0,1.0,,,,
355,0.0,1.0,,,,
356,0.0,1.0,,,,
357,0.0,1.0,,,,
358,0.0,1.0,,,,
359,0.0,1.0,,,,
360,0.0,1.0,1e-05,1.0,,
361,0.0,1.0,,,,
362,0.0,1.0,,,,
363,0.0,1.0,,,,
364,3e-05,1.0,,,,
365,0.0,1.0,,,,
366,0.0,1.0,,,,
